neighborhood_slug,listings,median_asking_price,median_price_per_sqm,p25_price_per_sqm,p75_price_per_sqm,median_building_size_sqm,median_rooms,median_construction_year_jalali,median_latitude,median_longitude,median_location_radius,elevator_share,parking_share,warehouse_share,rebuilt_share,balcony_share,price_vs_city_median_pct,stabilized_price_per_sqm,stabilization_weight,iqr_price_per_sqm
niroo-havayi,380,8500000000.0,95000000.0,80000000.0,114970472.44094488,93.0,2.0,1394.0,35.70080757141113,51.484256744384766,500.0,0.8219584569732937,0.8174157303370787,0.898876404494382,0.4150197628458498,0.9068825910931174,14.000000000000012,90803218.603131,0.6551724137931034,34970472.44094488
niloufar,378,16800000000.0,140140845.07042253,117206414.4736842,167533003.30033004,120.0,2.0,1394.0,35.73707962036133,51.437591552734375,500.0,0.905982905982906,0.9416666666666667,0.9444444444444444,0.4291044776119403,0.9501915708812261,68.16901408450704,117071703.24777347,0.6539792387543253,50326588.826645836
vahidiyeh,363,3500000000.0,65581395.34883721,58152096.65955935,71791443.85026738,56.0,1.0,1392.0,35.71516418457031,51.470388412475586,500.0,0.42565597667638483,0.5722543352601156,0.8786127167630058,0.553030303030303,0.6826086956521739,-21.302325581395344,71406726.74318086,0.6447602131438721,13639347.190708034
nazi-abad,363,4200000000.0,61764705.88235294,50000000.0,77048494.98327759,77.0,2.0,1392.0,35.63857650756836,51.405548095703125,500.0,0.625,0.5958702064896755,0.6607669616519174,0.40942028985507245,0.833976833976834,-25.882352941176467,68698838.16773738,0.6447602131438721,27048494.98327759
south-deylaman,360,5000000000.0,65849906.19136961,53952752.97619048,75625440.45102185,84.0,2.0,1399.0,35.603084564208984,51.432050704956055,500.0,0.8411764705882353,0.7803468208092486,0.6589595375722543,0.21818181818181817,0.8562874251497006,-20.980112570356468,71627183.20395248,0.6428571428571429,21672687.474831372
haft-hoz,356,7750000000.0,106966490.29982364,89905660.3773585,127991452.99145299,81.0,2.0,1392.0,35.72905349731445,51.48964309692383,500.0,0.6985074626865672,0.75,0.9534883720930233,0.5547169811320755,0.8674242424242424,28.359788359788386,97778756.90975893,0.6402877697841727,38085792.614094496
ahang,350,4200000000.0,64142857.14285714,51804401.99335548,80738213.39950372,80.0,2.0,1391.0,35.66365432739258,51.47688102722169,500.0,0.6282894736842105,0.7009345794392523,0.7725856697819314,0.45353159851301117,0.7359307359307359,-23.02857142857142,70547724.64717723,0.6363636363636364,28933811.40614824
hakimiyeh,340,7500000000.0,86459876.54320988,66590909.09090909,95164992.82639885,100.0,2.0,1398.0,35.738651275634766,51.591064453125,500.0,0.8947368421052632,0.9201277955271565,0.9648562300319489,0.2692307692307692,0.9321266968325792,3.751851851851873,85288449.56081972,0.6296296296296297,28574083.735489756
tarasht,334,7275000000.0,94117647.05882353,81632569.55810148,102548076.92307693,85.0,2.0,1394.5,35.70676803588867,51.342960357666016,500.0,0.8757763975155279,0.9176829268292683,0.9207317073170732,0.6042553191489362,0.9282868525896414,12.941176470588234,89924118.57690576,0.6254681647940075,20915507.364975452
nezam-abad,331,4150000000.0,67777777.77777778,60982142.85714286,72638146.16755792,67.0,2.0,1395.0,35.709041595458984,51.458778381347656,500.0,0.7087378640776699,0.697452229299363,0.7961783439490446,0.4,0.7892376681614349,-18.666666666666664,73262962.1106477,0.623352165725047,11656003.310415067
shahrak-e-parvaz,330,6950000000.0,100000000.0,89336065.5737705,112500000.0,73.0,2.0,1388.0,35.72643852233887,51.30612564086914,500.0,0.5945121951219512,0.9329268292682927,0.9847560975609756,0.724907063197026,0.9251968503937008,20.000000000000018,93351281.56716053,0.6226415094339622,23163934.426229507
amir-abad,325,15900000000.0,140000000.0,120089285.71428572,160000000.0,118.0,2.0,1397.0,35.735538482666016,51.39494323730469,500.0,0.8903654485049833,0.9451612903225807,0.9838709677419355,0.40718562874251496,0.9322916666666666,68.00000000000001,114893624.02314353,0.6190476190476191,39910714.28571428
khalij-e-fars,322,3300000000.0,49092244.41833137,44272347.38372093,54214052.47156852,70.0,2.0,1393.0,35.67265701293945,51.26671028137207,500.0,0.7722419928825622,0.7653061224489796,0.7244897959183674,0.47580645161290325,0.8486238532110092,-41.089306698002346,60125833.84702203,0.6168582375478927,9941705.08784759
javadiyeh,309,2850000000.0,48000000.0,42708333.333333336,53500000.0,62.0,1.0,1393.0,35.65316390991211,51.38998794555664,500.0,0.6051660516605166,0.4724137931034483,0.6620689655172414,0.4534412955465587,0.7655502392344498,-42.39999999999999,59618052.63529908,0.6070726915520629,10791666.666666664
moshiriyeh,309,2950000000.0,49000000.0,39041095.89041096,60000000.0,70.0,2.0,1388.0,35.620548248291016,51.48402404785156,500.0,0.4008097165991903,0.6354166666666666,0.8263888888888888,0.4043478260869565,0.6930232558139535,-41.19999999999999,60369006.20596545,0.6070726915520629,20958904.10958904
moniriyeh,308,5200000000.0,75440767.08939067,63461538.461538464,89227941.1764706,73.0,2.0,1390.0,35.68195724487305,51.40165138244629,500.0,0.6391752577319587,0.7275747508305648,0.8970099667774086,0.5495495495495496,0.9237668161434978,-9.471079492731194,78454697.69132483,0.6062992125984252,25766402.71493213
khaje-nezam-molk,306,3750000000.0,67809343.43434343,59675866.49550706,75817204.30107526,60.0,1.0,1385.0,35.71345901489258,51.4482536315918,500.0,0.41114982578397213,0.4290657439446367,0.8062283737024222,0.5772727272727273,0.7136150234741784,-18.62878787878788,73565904.77940476,0.6047430830039525,16141337.805568203
shaharak-e-shariyati,303,4080000000.0,60000000.0,52798611.11111111,65292869.26994906,71.0,2.0,1393.0,35.634559631347656,51.37612533569336,500.0,0.6412213740458015,0.6093189964157706,0.6344086021505376,0.39408866995073893,0.8804347826086957,-27.999999999999993,68371938.28754634,0.6023856858846919,12494258.158837952
dolat-abad,300,3900000000.0,55223880.59701493,46185064.935064934,63173018.753781006,75.0,2.0,1393.0,35.619441986083984,51.449832916259766,500.0,0.7195571955719557,0.6445993031358885,0.5749128919860628,0.4409090909090909,0.8115183246073299,-33.731343283582085,65103397.6581782,0.6,16987953.81871607
shadman,286,8825000000.0,100977403.1563845,87281976.74418604,112457191.78082192,92.5,2.0,1393.0,35.70827674865723,51.36533164978027,500.0,0.7191011235955056,0.8442028985507246,0.927536231884058,0.5412844036697247,0.9318181818181818,21.1728837876614,93304151.93815261,0.588477366255144,25175215.036635876
mobarak-abad-e-beheshti,281,2232000000.0,30714285.714285713,28571428.57142857,32514705.88235294,74.0,2.0,1401.0,35.578697204589844,51.42108917236328,500.0,0.9450980392156862,0.7689393939393939,0.9545454545454546,0.03496503496503497,0.8387096774193549,-63.142857142857146,46513700.42494047,0.5841995841995842,3943277.31092437
eram,281,7300000000.0,103174603.17460318,90000000.0,115151515.15151516,72.0,2.0,1393.5,35.728986740112305,51.29094886779785,500.0,0.8618181818181818,0.960431654676259,0.9892086330935251,0.5633187772925764,0.845771144278607,23.809523809523814,94407312.18930334,0.5841995841995842,25151515.151515156
